树木编号,树木名称,树木品类,高度 (cm),冠幅 (cm),价格 (元),封面照片,详情照片1,详情照片2,详情照片3,售卖状态
HY0001,罗汉松造型树,罗汉松,300,200,6800,"=DISPIMG(""ID_5CDD635BEA5D4D67BDA7B456E8ABD88F"",1)","=DISPIMG(""ID_5CDD635BEA5D4D67BDA7B456E8ABD88F"",1)","=DISPIMG(""ID_5CDD635BEA5D4D67BDA7B456E8ABD88F"",1)","=DISPIMG(""ID_5CDD635BEA5D4D67BDA7B456E8ABD88F"",1)",在售
HY0002,黑松景观树,黑松,350,250,8800,"=DISPIMG(""ID_95CA204442A2403FBB3F561C8A17345F"",1)","=DISPIMG(""ID_95CA204442A2403FBB3F561C8A17345F"",1)","=DISPIMG(""ID_95CA204442A2403FBB3F561C8A17345F"",1)","=DISPIMG(""ID_95CA204442A2403FBB3F561C8A17345F"",1)",在售
HY0003,造型五针松,五针松,280,180,9500,"=DISPIMG(""ID_9A69AC20F1584B6A867B7587DECC30E6"",1)","=DISPIMG(""ID_9A69AC20F1584B6A867B7587DECC30E6"",1)","=DISPIMG(""ID_9A69AC20F1584B6A867B7587DECC30E6"",1)","=DISPIMG(""ID_9A69AC20F1584B6A867B7587DECC30E6"",1)",在售
HY0004,造型榆树桩,榆树,320,220,5200,"=DISPIMG(""ID_727E575DF05F4219893C75D6C2E35F17"",1)","=DISPIMG(""ID_727E575DF05F4219893C75D6C2E35F17"",1)","=DISPIMG(""ID_727E575DF05F4219893C75D6C2E35F17"",1)","=DISPIMG(""ID_727E575DF05F4219893C75D6C2E35F17"",1)",在售
HY0005,造型红花檵木,红花檵木,250,200,3600,"=DISPIMG(""ID_E57257E49C8F4193B9B5250F3CC18E3B"",1)","=DISPIMG(""ID_E57257E49C8F4193B9B5250F3CC18E3B"",1)","=DISPIMG(""ID_E57257E49C8F4193B9B5250F3CC18E3B"",1)","=DISPIMG(""ID_E57257E49C8F4193B9B5250F3CC18E3B"",1)",在售
HY0006,造型对接白蜡,白蜡,400,280,7600,"=DISPIMG(""ID_5D999E741747491C97E69B0115822397"",1)","=DISPIMG(""ID_5D999E741747491C97E69B0115822397"",1)","=DISPIMG(""ID_5D999E741747491C97E69B0115822397"",1)","=DISPIMG(""ID_5D999E741747491C97E69B0115822397"",1)",在售
HY0007,造型紫薇老桩,紫薇,300,210,4800,"=DISPIMG(""ID_A5209E992C3544CBA438A9FF58035C67"",1)","=DISPIMG(""ID_A5209E992C3544CBA438A9FF58035C67"",1)","=DISPIMG(""ID_A5209E992C3544CBA438A9FF58035C67"",1)","=DISPIMG(""ID_A5209E992C3544CBA438A9FF58035C67"",1)",在售
HY0008,造型大阪松,大阪松,260,190,12000,"=DISPIMG(""ID_693E9636DD204701A7E8314B395ADF7F"",1)","=DISPIMG(""ID_693E9636DD204701A7E8314B395ADF7F"",1)","=DISPIMG(""ID_693E9636DD204701A7E8314B395ADF7F"",1)","=DISPIMG(""ID_693E9636DD204701A7E8314B395ADF7F"",1)",在售
HY0009,造型黄杨桩,黄杨,220,160,6200,"=DISPIMG(""ID_6DC8EE86D81343BE9413154BA1CAC60B"",1)","=DISPIMG(""ID_6DC8EE86D81343BE9413154BA1CAC60B"",1)","=DISPIMG(""ID_6DC8EE86D81343BE9413154BA1CAC60B"",1)","=DISPIMG(""ID_6DC8EE86D81343BE9413154BA1CAC60B"",1)",在售
HY0010,造型枸骨球,枸骨,240,200,3200,"=DISPIMG(""ID_1084D84780724580B8E56574FFB622A7"",1)","=DISPIMG(""ID_1084D84780724580B8E56574FFB622A7"",1)","=DISPIMG(""ID_1084D84780724580B8E56574FFB622A7"",1)","=DISPIMG(""ID_1084D84780724580B8E56574FFB622A7"",1)",在售
